name,major,tail,minor
01_hello,19,12,0
02_keisan,5,3,0
03_keisan,5,4,0
04_var,9,7,2
05_varkaisan,4,3,0
06_rewrite,0,0,0
07_input,3,2,0
08_input2,0,0,1
09_helloGraph,1,1,0
10_color,0,0,0
11_colorVar,0,0,0
12_colorVarInc,0,0,0
13_k1,0,0,1
14_k2,1,1,0
15_k3,0,0,0
01_no_kurikaesi,0,0,0
02_kurikaesi,18,13,12
03_for,10,9,20
04_while_scanf,0,0,0
05_sum,3,2,6
06_picture.,0,0,0
07_picture_no_kurikaesi.,0,0,0
08_picture_kurikaesi.,2,2,1
09_gradation.,0,0,0
10_anim_no_update.,0,0,2
11_anim_update.,0,0,0
12_anim_update_clr.,0,0,0
13_0418-1,0,0,0
14_0418-2,1,1,2
14_0418-3,0,0,0
15_0418-4,1,1,1
16_0418-A,0,0,29
03,8,7,11
06,7,4,7
07,4,3,7
08,3,2,0
09,4,3,22
10,0,0,0
11,1,1,20
12,0,0,0
13,0,0,0
14,2,1,8
15,0,0,0
16,0,0,0
17,0,0,1
18,0,0,2
19,0,0,7
20,0,0,1
21,1,1,34
04-03,1,1,0
04-04,0,0,0
04-06,1,1,0
04-07,0,0,0
04-08,4,3,3
04-09,4,2,4
04-12,3,3,2
04-15,8,7,7
04-17,1,1,0
04-18,0,0,1
04-19,1,1,0
04-20,0,0,0
04-21,0,0,0
04-23,1,1,7
05-03,1,1,0
05-07,2,1,1
05-10,9,9,9
05-11,3,2,0
05-12,0,0,1
05-13,0,0,24
05-14,0,0,0
05-15,2,2,9
05-19,3,3,13
05-20,0,0,0
05-21,0,0,0
05-21a,0,0,0
05-22,1,1,5
05-23,0,0,0
05-24,1,1,12
05-25,0,0,0
05-26,8,5,26
06-06,11,7,7
06-07,0,0,0
06-08,0,0,0
06-09,0,0,0
06-10,0,0,0
06-13,1,1,2
06-15,0,0,14
06-16,0,0,16
06-17,0,0,0
06-18,0,0,0
06-19,0,0,11
06-20,0,0,10
06-21,2,2,2
06-23,2,2,11
06-24,1,1,5
06-25,0,0,12
07-09,8,6,10
07-14,0,0,7
07-15,0,0,4
07-16,0,0,6
07-19,3,2,25
07-21,2,2,34
07-23,2,2,73
07-24,0,0,15
07-25,0,0,25
07-26,0,0,6
07-27,0,0,13
08-03,0,0,1
08-06,0,0,0
08-07,0,0,0
08-08,0,0,0
08-09,0,0,0
08-10,0,0,0
08-11,0,0,11
08-15,2,2,18
08-16,0,0,23
08-20,0,0,56
08-21,0,0,0
08-22,0,0,0
08-23,0,0,29
08-24,0,0,1
08-25,2,2,44
09-06,0,0,0
09-16,0,0,31
09-17,1,1,214
09-18,0,0,4
09-19,0,0,35
09-20,0,0,39
09-21,1,1,41
09-23,0,0,6
09-24,1,1,5
10-03,0,0,0
10-06,0,0,4
10-09,0,0,7
10-12,6,4,21
10-17,1,1,22
10-19,0,0,26
10-20,0,0,12
10-21,0,0,13
10-22,0,0,6
10-23,0,0,4
10-24,1,1,2
11-04,1,1,3
11-07,0,0,0
11-10,0,0,1
11-11,0,0,10
11-13,0,0,0
11-15,0,0,4
11-18,0,0,0
11-20,0,0,0
11-22,0,0,4
11-23,0,0,4
12-03,2,2,0
12-05,1,1,0
12-06,0,0,0
12-09,0,0,0
12-10,2,2,4
12-11,2,2,8
12-13,0,0,10
12-15,0,0,3
12-18,0,0,0
12-20,0,0,9
12-22,0,0,18
12-23,0,0,28
